date,ticker,INTERCEPT,SIZE,REVERSAL,MARKET_BETA
2025-07-23,005930,1.0,2.6746294718776453,-1.4486792397168557,0.5165901878038082
2025-07-23,000660,1.0,2.6746294718776453,-0.24165605780803692,2.1866158735272148
2025-07-23,373220,1.0,2.6651063582421806,0.20909948730314015,0.27075632922060455
2025-07-23,207940,1.0,2.612274275102993,-0.7575207372130507,-0.8989691418022847
2025-07-23,012450,1.0,2.1510829174415798,-1.0179572743883973,-0.31935676274612484
2025-07-23,005380,1.0,2.0294973600752075,0.16903232773770227,0.32487205126469143
2025-07-23,005935,1.0,2.087521737269981,-1.5137883740106923,0.31828813265182704
2025-07-23,105560,1.0,2.0640672043079795,1.8518530294860962,-0.2517218729992094
2025-07-23,000270,1.0,1.9428173713243044,-0.41194148596114816,0.08401350811210405
2025-07-23,034020,1.0,1.9745089924852381,0.6398214526315984,1.0902015583555575
2025-07-23,068270,1.0,1.9780652120811402,-0.15651334373148124,-0.35421146824762684
2025-07-23,035420,1.0,1.8975856669316338,-0.7625291321587304,-0.7102727610804181
2025-07-23,329180,1.0,1.8903542911380198,-1.5488471386304505,-0.15988124202997706
2025-07-23,055550,1.0,1.7758965109192084,0.329300965999454,-0.5748368138867207
2025-07-23,028260,1.0,1.6359019281524343,-0.632310863571057,0.1629656729796674
2025-07-23,012330,1.0,1.5602896291306372,-0.49708420003770387,-0.7173359508976339
2025-07-23,005490,1.0,1.530774041358027,1.756693525518182,0.5806874552016026
2025-07-23,086790,1.0,1.5238265360617242,1.8268110547576975,0.010188044320964316
2025-07-23,032830,1.0,1.535471096847891,0.023788874312989646,-0.06355128505946434
2025-07-23,196170,1.0,1.5029481833061111,-2.4754002035812035,0.9523651757443216
2025-07-23,042660,1.0,1.5402860243062508,-0.6623612332451355,0.20800497533250717
2025-07-23,011200,1.0,1.48280008509298,0.7850649060563111,-0.7036076716105066
2025-07-23,035720,1.0,1.4833843090678585,0.29925059632537554,-0.03890616769993951
2025-07-23,015760,1.0,1.4383743865660763,-0.6623612332451355,-1.123435700326123
2025-07-23,009540,1.0,1.4371924692005178,-1.042999249116796,-0.007845002309131923
2025-07-23,000810,1.0,1.3185062906059355,0.9353167544267033,-0.046084813192784284
2025-07-23,138040,1.0,1.307569024587456,1.6865759962786655,-0.5048596355515147
2025-07-23,064350,1.0,1.30735654870762,-0.37688272134139006,-0.15898423834530134
2025-07-23,402340,1.0,1.2928377661478885,-0.9828985097686392,2.5599069902664477
2025-07-23,051910,1.0,1.2736360967458182,1.0805602078514158,1.260141148956952
2025-07-23,316140,1.0,1.173728064331365,2.708288565197333,-0.45703745900379056
2025-07-23,096770,1.0,1.0967822580875666,1.0204594685032589,0.8743838851629496
2025-07-23,267260,1.0,1.0765210212834717,-1.6139562729242871,1.5969947190908882
2025-07-23,010140,1.0,1.097911417976558,-0.2717064274821153,0.06881680160146615
2025-07-23,010130,1.0,1.0659761785234834,0.5296367638266438,0.13081304010418238
2025-07-23,259960,1.0,1.0663661087974692,-0.3718743263957103,-1.1382751766954602
2025-07-23,033780,1.0,1.063620942633991,-0.48205901520066474,-1.9148883457664783
2025-07-23,024110,1.0,1.0285791194568323,2.297600179651594,-0.9861816353838753
2025-07-23,034730,1.0,0.992135491297369,-0.0012531004154091023,0.628711517070766
2025-07-23,006400,1.0,0.9307798012094495,0.20409109235746045,0.9154253622865984
2025-07-23,030200,1.0,0.915263437915883,-0.32179037693891277,-1.8131588529131966
2025-07-23,323410,1.0,0.8813131439400033,-0.08138741954628506,0.8250653175667175
2025-07-23,018260,1.0,0.8673369656005951,-1.5889142981958888,-0.7176177495921517
2025-07-23,079550,1.0,0.8064059198805092,-0.7424955523760115,-0.6595578237087236
2025-07-23,066570,1.0,0.7725572115258095,0.3142757811624149,0.15823741879981795
2025-07-23,003550,1.0,0.7708953047878478,-0.907772585583443,-0.30025463171083894
2025-07-23,017670,1.0,0.7348866956518771,-0.5722101242229001,-1.9148883457664783
2025-07-23,003670,1.0,0.6884246405450086,0.5196199739352844,1.536321788020404
2025-07-23,006800,1.0,0.6809255565068624,2.710141671327233,1.0628084828107294
2025-07-23,352820,1.0,0.6654888967688422,0.16903232773770227,-0.4217434153988745
2025-07-23,267250,1.0,0.6092332228969134,-0.30175679715619386,-0.39215690586694985
2025-07-23,086280,1.0,0.5869559291238511,-0.24666445275371662,-0.4403139030023099
2025-07-23,247540,1.0,0.6014057600944203,0.4344772598587287,2.0723784390072586
2025-07-23,272210,1.0,0.5869864808938293,-0.8426634512896063,0.19279589751989729
2025-07-23,009150,1.0,0.5389237934302863,-0.16152173867716094,0.724023676520865
2025-07-23,003230,1.0,0.5523402912013567,-0.15651334373148124,-0.11908137590701144
2025-07-23,000100,1.0,0.5337233270825867,-0.6172856787340179,0.4062356643067798
2025-07-23,298040,1.0,0.5022773860837172,-2.1648797169490592,1.0504071621848377
2025-07-23,047050,1.0,0.4256916561286962,0.19908269741178072,1.165243371138425
2025-07-23,005830,1.0,0.4910803671806325,1.0905769977427755,-0.004663365090693474
2025-07-23,003490,1.0,0.4524146068756035,0.10392319344386561,-0.6166923462036914
2025-07-23,000150,1.0,0.44993851093574283,0.4194520750216896,1.5865997297909493
2025-07-23,047810,1.0,0.39718038030760744,-0.2666980325364356,-0.9227108280877578
2025-07-23,010120,1.0,0.33837679415957217,-0.752512342267371,1.9657509482195912
2025-07-23,071050,1.0,0.3585330252771797,1.2458372410588476,0.11788936389882373
2025-07-23,443060,1.0,0.345645588242485,0.008763689475950414,-0.06130884554965784
2025-07-23,042700,1.0,0.3351194759377814,-0.552176544440181,2.5545701257803155
2025-07-23,377300,1.0,0.2892594339588444,-0.6623612332451355,0.11126906559216213
2025-07-23,326030,1.0,0.2929671418091106,0.04883084904138831,0.17216776617221694
2025-07-23,090430,1.0,0.2868867755743354,0.9202915695896642,-0.3310884702964495
2025-07-23,021240,1.0,0.2690474260878948,0.25417504181425793,-1.4425298415392724
2025-07-23,010620,1.0,0.2959970916431043,-2.832749182955453,-1.0261451826505934
2025-07-23,180640,1.0,0.2752619966793174,-0.011269890306768532,0.1351533354610116
2025-07-23,000720,1.0,0.23187700149713586,1.040493048285978,-0.35344922181273886
2025-07-23,010950,1.0,0.17290004797713956,-0.2717064274821153,-0.9769156105298469
2025-07-23,000880,1.0,0.1532089537853687,-0.08138741954628506,0.5272966707315523
2025-07-23,087010,1.0,0.15913990523025734,-1.088074803627914,0.12372442047735585
2025-07-23,005940,1.0,0.15701508097961064,1.9019369789428946,-0.4015511396887887
2025-07-23,278470,1.0,0.12866913518556136,0.44449404975008816,0.28717265091871136
2025-07-23,064400,1.0,0.15916849355390322,0.4394856548044086,0.24483319049859095
2025-07-23,028300,1.0,0.0945419779226395,-0.6623612332451355,-0.6908552267883162
2025-07-23,086520,1.0,0.08358879561452198,0.5045947890982453,1.8990017963601808
2025-07-23,032640,1.0,0.10342225343137962,-0.026295075143807852,-1.8085447630066473
2025-07-23,009830,1.0,0.07730071594032566,0.30425899127105527,1.2470652175556973
2025-07-23,016360,1.0,0.08750766035185996,2.102272776770084,-0.13250547699164553
2025-07-23,029780,1.0,0.028335043155944806,0.7349809565995136,-1.5938489306062176
2025-07-23,214450,1.0,-0.005596678377453581,0.8601908302415071,0.15683008606628018
2025-07-23,005387,1.0,-0.05158307528562029,-0.02128668019812805,-0.2865704052962688
2025-07-23,161390,1.0,-0.0413310728664659,-0.06636223470924583,-0.33976733854718444
2025-07-23,039490,1.0,-0.03166016044948659,0.4995863941525654,0.5308955273274895
2025-07-23,006260,1.0,-0.05074331148625308,-0.3167819819932331,1.355957312516724
2025-07-23,241560,1.0,-0.135487986971946,0.6298046627402388,-0.19005318210667901
2025-07-23,088980,1.0,-0.09263622009079824,-0.44199185563522664,-1.9138386456617598
2025-07-23,141080,1.0,-0.12985360792191858,0.14399035300930352,0.8176187383560992
2025-07-23,277810,1.0,-0.1384722245646519,-1.027974064279757,0.6100773334294098
2025-07-23,051900,1.0,-0.15017040858530845,0.013772084421630217,-0.7968129023757707
2025-07-23,251270,1.0,-0.09713343926128876,-1.148175542976071,-0.22961604024411492
2025-07-23,000250,1.0,-0.4528632329863307,0.0037552945302707,1.2677587757882671
2025-07-23,004020,1.0,-0.21051094248347113,-0.16653013362284075,0.3120018626936519
2025-07-23,138930,1.0,-0.20372212545343948,0.4044268901846503,-0.7759597233385698
2025-07-23,028050,1.0,-0.19335363933950575,-0.16653013362284075,0.05417110591837795
2025-07-23,078930,1.0,-0.22831445963818883,-2.825987849778786,-0.870064177439464
2025-07-23,175330,1.0,-0.2378086699103696,0.9603587291551023,-0.6619758297221262
2025-07-23,034220,1.0,-0.28144820343768523,-0.336815561775952,0.9123502543480605
2025-07-23,001040,1.0,-0.2520793012067377,0.5596871335007223,0.19549593080374317
2025-07-23,103140,1.0,-0.33136657298228894,-2.832749182955453,-0.15501503271760186
2025-07-23,271560,1.0,-0.29514122848767904,1.3610303248094817,-1.6714205383329832
