date,INTERCEPT,SIZE,REVERSAL,MARKET_BETA
2025-07-23,0.0050215000000000025,-0.0013492612601556176,0.000750156227765565,0.00543306160638423
2025-07-24,-0.0020695000000000006,0.002672251227137568,-0.0024674758925737794,0.006541987147070423
2025-07-25,0.0012485,0.0035990749525111015,0.00019173381721841542,-0.002776237494478184
2025-07-28,-0.009143000000000002,0.0019241631777310456,-0.006182805105121321,0.006614743986432493
2025-07-29,0.005593000000000001,-0.0003776573881573639,0.0021090079831046203,-0.00016991033129410072
2025-07-30,0.0023015,-6.002258426482389e-05,0.00259707303768393,0.005147974829784904
2025-07-31,-0.0013700000000000006,0.0009107567022960468,-0.0027582834925509955,-0.008632101224879677
2025-08-01,-0.039982000000000004,-0.0009268239261095062,-0.0017656834339953,0.0007279179092372029
2025-08-04,0.011917000000000004,-0.002296797478311459,0.0001713507380245759,0.0006329708397359925
2025-08-05,0.019241500000000005,0.001029579450478531,0.0033918837922536954,0.0031132492731105886
2025-08-06,0.0073560000000000006,-0.0012845920196028365,0.004838975340133783,-0.003488954856215494
2025-08-07,0.0040945,0.0038463184317817723,0.006931033609785145,-0.012844426521545016
2025-08-08,-0.004731500000000001,-0.00346831464728604,-0.004539226652378555,0.0004675499217587818
2025-08-11,-0.0049245,0.0017332272705931765,0.0005285995536399957,0.011698742344014412
2025-08-12,-0.008152000000000001,0.0011132113429057537,0.002329787129394598,0.0033238899814027247
2025-08-13,0.005790000000000001,0.00472196780588968,-9.31592111988885e-05,0.004869203342011115
2025-08-14,0.0018335000000000007,0.0004709213979882211,-9.036694274037753e-05,-7.600328302054776e-05
2025-08-18,-0.012196,-0.0006703984948012401,-0.0004441613032839951,-0.006322999745872826
2025-08-19,-0.008012,-0.0011926331394112432,-0.0011648575871860036,-0.001130464532685391
2025-08-20,-0.008243,-0.00019208812882053094,-0.0017706920504979423,-0.004523270988200868
2025-08-21,0.005781500000000001,0.0014377460649788606,-0.002244588632523887,-0.0034456936551063282
2025-08-22,0.004659500000000001,0.0032087415895914254,0.00098740398689496,0.0015902441416299421
2025-08-25,0.015819,-0.0008515095984967433,0.0002771472288939989,0.005269637989826299
2025-08-26,-0.0027425000000000014,-0.0058452096473486795,-0.0024753624215556776,0.002778617119121659
2025-08-27,0.0018159999999999997,0.0009851177588435923,-0.0010158873737208041,-0.0018443885272515924
2025-08-28,0.0020185000000000003,0.0013679711349898387,0.0011360278087326997,-0.005340771325582796
2025-08-29,-0.0030630000000000006,-0.001306905207518479,-0.002542293162990426,-0.004205569554051224
2025-09-01,-0.011987500000000002,0.004039662652224748,0.00369089303311525,-0.004554763946118571
2025-09-02,0.0033175000000000023,0.003655254431959898,0.0024335756221604116,0.004513499958123707
2025-09-03,0.0026340000000000005,-0.0020056854585069786,-0.0016139353705395705,0.006117325750336123
2025-09-04,0.007893,-0.003927580874385393,-0.001047761841809878,-0.00018037649691425662
2025-09-05,0.00449,-0.002137706017143256,-0.0004805337936187403,0.00213818991781888
2025-09-08,0.0039245,-0.0002724056799476134,0.002316380299133488,-0.0034654192510810726
2025-09-09,0.008688499999999997,0.0016415314235307904,0.003131371797920266,0.0025487635866456347
2025-09-10,0.0121695,0.0024500683207213767,-0.0012502475464848826,0.002061922634181098
2025-09-11,0.006999000000000003,0.00016915419946197526,0.00026127576257587,0.0014274966711304172
2025-09-12,0.008384000000000003,0.00046303190755657577,1.3434738551034617e-05,0.0069288968295125875
2025-09-15,0.005278000000000001,-0.0031565756249400077,-0.0015774399396828787,0.00047699484452218385
2025-09-16,0.001970499999999999,0.0025339500690510735,0.0036942941225775808,0.0006195745220425885
2025-09-17,-0.005191499999999999,-0.0022647866472241484,0.003003793901588253,-0.0022340242929593133
2025-09-18,0.008131,-0.0004806360627854072,0.0022199321861255173,0.002362913808662922
2025-09-19,0.0003029999999999998,-0.004035983040017413,-0.001921333265111253,0.001816909353500011
2025-09-22,0.00011500000000000033,0.0016818033083851045,0.0007465134185913767,0.005035527723014978
2025-09-23,-0.0021370000000000004,-6.327806450207947e-05,-0.0015920644164640872,0.004132264841516452
2025-09-24,-0.010883500000000003,0.003044298413125261,-0.0006387013113263867,-0.005156322907989988
2025-09-25,-0.004929,0.002460675579719323,0.0005329149017756419,-7.121782354167604e-05
2025-09-26,-0.018518000000000003,-0.0007112362544509206,-0.00011310557785411271,-0.006016979709809135
2025-09-29,0.0095305,0.0033157562925424937,-0.002029836274810414,-0.0027402172941749943
2025-09-30,-0.0027475,0.001081713917429482,0.0017066942536758585,0.0006146296643590853
2025-10-01,0.0005035000000000005,0.002186068874485979,-0.004993567620959791,0.002967410255251335
2025-10-02,0.009064000000000003,0.005696942981560122,0.0010088386204834766,0.008279086407929036
2025-10-10,-0.0014574999999999998,0.004266755121602911,0.001985740232434422,0.006559111096857579
2025-10-13,-0.0018265000000000006,0.00031697778730759507,0.004843842127310311,0.0021630103385705253
2025-10-14,-0.007052000000000001,0.0011056227333486645,0.003965613310924422,0.008614897229243714
2025-10-15,0.019187000000000006,0.0025951609743258375,-0.002636548182245077,0.002410140069420751
2025-10-16,0.013371500000000005,0.001403126516180107,-0.004304188889819708,0.011819751496630001
2025-10-17,-0.0032369999999999994,0.0005830116505157342,0.011956140025049997,0.020381542636554936
2025-10-20,0.020252000000000003,0.0006333642775563766,0.0035650397538086833,0.0025966441287348344
2025-10-21,0.0022930000000000008,0.004943519366937757,-0.00023523757286404395,-0.0045563033025771225
2025-10-22,0.014995500000000002,0.002775035159538739,0.0016316852977501066,0.002671315071960713
2025-10-23,-0.0067075000000000025,0.00022542376164674425,0.0039631902607504405,-0.00032548437660901125
2025-10-24,0.015281499999999998,0.0004669474211092858,0.0013532280420726491,0.018771902397750475
2025-10-27,0.021951499999999995,0.0023532054412788656,-0.004795121618265677,0.0015532194071126184
2025-10-28,0.0005424999999999998,-0.0036638673819243033,0.002410248072013476,0.005540245423665232
2025-10-29,0.003556499999999999,0.006083426447766167,0.003578813187561772,0.007960838319937644
2025-10-30,-0.008023,0.005143846703292404,-0.007783958848998935,-0.01047812544724322
2025-10-31,0.006740000000000001,-0.0009806871983184177,0.008353630785628762,0.006704827080031362
2025-11-03,0.012963000000000002,0.0025676252488219995,-0.0027831296416462137,0.009211647782788414
2025-11-04,-0.000871500000000001,-0.006428786227686793,-0.004339685699406461,0.0001657587824439907
2025-11-05,-0.028811499999999997,-0.0017002683579762652,0.001351048954443592,-0.004256599140448384
2025-11-06,0.006971499999999999,-0.00023121484992965176,0.005003181968473907,-0.005332242202218418
2025-11-07,-0.020005999999999996,0.00021276435463016155,-0.004540116960740529,-0.008826398197124635
2025-11-10,0.029123500000000007,-0.0014271034453795111,-0.002783673260451956,0.001064109906516108
2025-11-11,-0.0023505,0.0013757028494374131,-0.004232633794169329,0.010555563278281109
2025-11-12,0.0238235,-0.003740775409015526,-0.0014368223771483702,-0.002649495284538484
2025-11-13,0.009050999999999998,0.000656530011744386,0.007154541404533876,0.002366989553937572
2025-11-14,-0.020167,-0.003967420569588092,0.004544406138165712,-0.015802387457643067
2025-11-17,0.007937000000000003,-0.0010910384239352945,-0.005030759901821673,0.0036202114716430587
2025-11-18,-0.02765099999999999,-0.0016935161289285006,-0.0007533864334288233,-0.00983038683945081
2025-11-19,0.0003495,-0.003117621736345659,0.0021604358770678654,-0.0032259556130475593
2025-11-20,0.017699000000000003,-0.0017525506928503351,-0.0022092255804647223,0.0012048726658684006
2025-11-21,-0.021628499999999995,-0.0008533695302215474,-0.00803175617737803,-0.011831963606030718
2025-11-24,-0.009345500000000001,0.0016774315611289775,-0.001213276428532498,0.00039151971870079327
2025-11-25,-0.0023669999999999997,0.0026447124266095468,0.0014503163142475584,0.006049452934986263
