date,ticker,specific_return
2025-07-23,005930,-0.0012393005892257511
2025-07-23,000660,-0.013950450979907577
2025-07-23,373220,0.006288771198865711
2025-07-23,207940,0.02510663766608496
2025-07-23,012450,-0.009159915691809498
2025-07-23,005380,0.06866560975425234
2025-07-23,005935,-0.0012283184267980907
2025-07-23,105560,0.004151477146940557
2025-07-23,000270,0.07915582532997072
2025-07-23,034020,0.008073660618218143
2025-07-23,068270,-0.0068655379285363916
2025-07-23,035420,-0.012996557134471292
2025-07-23,329180,-0.00787942768637118
2025-07-23,055550,-0.002531504974105545
2025-07-23,028260,-0.005995511447899466
2025-07-23,012330,0.02112130010476573
2025-07-23,005490,0.02872922506884311
2025-07-23,086790,-0.008149395039487205
2025-07-23,032830,-0.019612476122441446
2025-07-23,196170,-0.0034014144343916183
2025-07-23,042660,-0.03327073795142604
2025-07-23,011200,0.013287925379085713
2025-07-23,035720,-0.028080946055400596
2025-07-23,015760,0.018306585834180145
2025-07-23,009540,-0.0123742593025757
2025-07-23,000810,-0.004527905002636165
2025-07-23,138040,-0.003586675921516075
2025-07-23,064350,-0.0017170346026258488
2025-07-23,402340,-0.0225519856317117
2025-07-23,051910,-0.0054935542726778
2025-07-23,316140,0.006444007361133966
2025-07-23,096770,0.011239738260457417
2025-07-23,267260,0.01241438275768243
2025-07-23,010140,-0.026144658909072804
2025-07-23,010130,-0.012917024739175938
2025-07-23,259960,-0.009911654141079689
2025-07-23,033780,-0.004464735814087708
2025-07-23,024110,-0.0035449122702145043
2025-07-23,034730,-0.02628508197661785
2025-07-23,006400,0.004741338338924874
2025-07-23,030200,-0.009195390267852726
2025-07-23,323410,-0.027481899481804156
2025-07-23,018260,-0.024225630097328914
2025-07-23,079550,0.004997680902155625
2025-07-23,066570,0.021683111339855926
2025-07-23,003550,-0.0007040507548714331
2025-07-23,017670,-0.0009340051928356328
2025-07-23,003670,-0.006170800071031656
2025-07-23,006800,-0.009610352860207892
2025-07-23,352820,-0.019033950807433673
2025-07-23,267250,0.00017532131453098002
2025-07-23,086280,0.016251579510543405
2025-07-23,247540,-0.014079242620039813
2025-07-23,272210,-0.014030308897309024
2025-07-23,009150,0.0007090531014383138
