date,INTERCEPT,SIZE,MOMENTUM
2025-07-23,0.00528020304568528,-0.0006122256313812685,-0.0022188689383980534
2025-07-24,-0.0017898477157360403,0.0031657506080706456,0.000966614325364861
2025-07-25,0.0010258883248730967,0.0024539690463516923,0.0060021080489999525
2025-07-28,-0.008975126903553296,0.0036678417100245125,7.053818212846168e-05
2025-07-29,0.00548223350253807,-0.001009018700892001,0.006836197259431499
2025-07-30,0.0023309644670050757,0.0012190207912997906,-0.0060679416023859435
2025-07-31,-0.0012345177664974615,-0.0012971466240345492,0.012929909570858667
2025-08-01,-0.040171573604060914,-0.0003801083110065802,-0.0012034148878371637
2025-08-04,0.011898984771573605,-0.0024434249911645164,0.0019824751368093464
2025-08-05,0.019095431472081214,0.0015704353765237254,-0.0010209026485252163
2025-08-06,0.007313705583756343,-0.0015092689103129685,-0.002236197200848373
2025-08-07,0.0034233502538071068,0.003269886250985892,-0.0031883293989918497
2025-08-08,-0.004738071065989847,-0.0032313684022978674,-0.002479158457070734
2025-08-11,-0.0038248730964467004,0.0030100995609799027,-0.004364727707653929
2025-08-12,-0.007926395939086292,0.0014614859965030361,-0.0031681981747025533
2025-08-13,0.006047208121827412,0.004929316876048037,0.0017996359454382287
2025-08-14,0.0014543147208121831,0.0005475969318063594,-7.242563962280618e-05
2025-08-18,-0.012437563451776648,-0.001583600185017946,0.0008865143296945998
2025-08-19,-0.008053807106598986,9.908784800803824e-05,-0.01082057462226386
2025-08-20,-0.008170050761421323,-0.00012534255555330108,-0.004273060117431541
2025-08-21,0.0058005076142131975,0.001103422366344787,0.006567606614304375
2025-08-22,0.004489340101522842,0.0025376119531775416,0.010373549501757447
2025-08-25,0.015981218274111676,-0.00032283799601385426,-0.0006302353770347132
2025-08-26,-0.002576649746192893,-0.005799563777715322,0.00038579830945576057
2025-08-27,0.0018644670050761423,0.0003988034803625,0.0023783583829289803
2025-08-28,0.002027918781725888,0.0002627241344637434,0.003234476862914649
2025-08-29,-0.0032263959390862952,-0.0020433447680154766,0.005242130084563627
2025-09-01,-0.011873604060913704,0.0038184336071449046,-0.0018451076672472868
2025-09-02,0.003241116751269035,0.004455073988251661,0.001984265682754452
2025-09-03,0.0030035532994923853,-0.0012315358854867412,-0.00258692912494003
2025-09-04,0.007936040609137055,-0.0039149919307805165,-0.0006689867836871032
2025-09-05,0.004506091370558374,-0.002382194554316577,0.002412369802053287
2025-09-08,0.003991919191919193,-0.0015144742833583724,0.002920014797620975
2025-09-09,0.008578787878787875,0.0006908628360948743,0.003439126974179141
2025-09-10,0.01203939393939394,0.0021082530283824336,0.003933466211755611
2025-09-11,0.006806565656565657,0.00017986055860076517,0.0019249307279723094
2025-09-12,0.008401515151515153,0.0018809428271091692,-0.004680074285964121
2025-09-15,0.00500959595959596,-0.0025170000467306802,-0.0031981919250914093
2025-09-16,0.0019030303030303033,0.002290660449964959,0.000788089887340991
2025-09-17,-0.005154545454545456,-0.002676770287475808,-0.002181624087561386
2025-09-18,0.008106060606060608,0.0004217552000944396,-0.004867092524302025
2025-09-19,0.0003368686868686868,-0.004619182263508638,0.005724405399526768
2025-09-22,0.00017727272727272711,0.002446238504717784,-0.0004461373042337783
2025-09-23,-0.0020823232323232323,0.000638280858879429,-0.0002644861936332867
2025-09-24,-0.010919191919191922,0.0024622578881602314,-0.0013425210089861891
2025-09-25,-0.005032323232323233,0.003348634925382139,-0.005235256427127241
2025-09-26,-0.0184530303030303,-0.0019217202966214852,0.002668316115635309
2025-09-29,0.00952979797979798,0.0033248554974202368,0.00011731891440462235
2025-09-30,-0.002704545454545455,0.00012587851280785098,0.006175919173357945
2025-10-01,0.00047323232323232277,0.002248329311807238,0.0051590401302609905
2025-10-02,0.009206060606060605,0.007170754866971828,-0.0035088752322153033
2025-10-10,-0.0013025252525252526,0.005763024305217841,-0.003929813680993034
2025-10-13,-0.0017560606060606067,0.00020566305109036867,-0.005119671194560706
2025-10-14,-0.006840404040404042,0.003108117602649013,-0.009464226929745408
2025-10-15,0.019222222222222224,0.0027136903870708866,0.00538851088893825
2025-10-16,0.013745959595959603,0.005681111293198225,-0.01147739424959877
2025-10-17,-0.003012121212121212,0.002662654988160453,-0.006836297317452317
2025-10-20,0.020460606060606065,-3.524963399457989e-05,0.007797308624424483
2025-10-21,0.002293969849246231,0.003864172522601129,0.0022316191114279435
2025-10-22,0.014840201005025127,0.0032647001093330254,-0.000417511622746822
2025-10-23,-0.006954773869346734,-0.0009785986193331189,0.005318213046623971
2025-10-24,0.015449246231155778,0.004160117694081095,-0.0045024795203291975
2025-10-27,0.022058291457286435,0.0016994994788211675,0.010080272666104102
2025-10-28,0.0005286432160804022,-0.002440324599057936,-0.0038578631784874813
2025-10-29,0.0036834170854271367,0.007013105366405462,0.0015589786583826456
2025-10-30,-0.008046231155778896,0.0016661485629523574,0.007339381392352026
2025-10-31,0.006723115577889451,-0.0009174783464133305,0.001204005762742829
2025-11-03,0.012743216080402011,0.0044939406728891065,0.003927725841669676
2025-11-04,-0.0010854271356783923,-0.005817466271648108,-0.0046471625406514115
2025-11-05,-0.02883165829145728,-0.001792782461739843,-0.007384863877206849
2025-11-06,0.008037185929648244,-0.002291699325203257,-0.005641802040252526
2025-11-07,-0.019870854271356788,-0.00237240897134188,0.00361292966772557
2025-11-10,0.02929849246231156,-0.0003963319567885233,-0.003507985730077473
2025-11-11,-0.0023994974874371857,0.004193562095599086,-0.007354641045642332
2025-11-12,0.023770351758793978,-0.004028659216954497,-0.0016264584955522562
2025-11-13,0.009036683417085429,0.00031271198237763624,0.004813144983510916
2025-11-14,-0.02027236180904523,-0.007040245835032218,0.00019050927777774132
2025-11-17,0.007894472361809044,-0.0026281599847942693,0.00871324887213654
2025-11-18,-0.027828643216080407,-0.0031882159065761318,-0.00010488151281591175
2025-11-19,0.00026281407035175876,-0.0033550295075657184,-4.076065834555906e-05
2025-11-20,0.017787939698492464,-0.003392245684458516,0.0074276781103445304
2025-11-21,-0.021680402010050254,-0.0030142693600898125,-0.005815177941036927
2025-11-24,-0.009327638190954777,0.0010770052722783381,0.0026142241420941863
2025-11-25,-0.0024020100502512563,0.0038633090965776006,-0.00023127235754886113
2025-11-26,0.025609547738693467,0.004761798674591253,-0.004531309623800475
2025-11-27,0.0009949748743718592,-0.0014004815634697995,0.003939667859790309
2025-11-28,0.004620100502512563,-0.008319529978430688,-0.00038360304796986375
2025-12-01,-0.002260804020100503,7.928638785737602e-06,-0.011515426231813317
2025-12-02,0.011813065326633164,0.0003431433157220108,0.0020721780037897077
2025-12-03,0.009224623115577892,0.00034547182143497925,0.003989809263816175
2025-12-04,-0.002765829145728643,0.0036021455271242108,-0.0028084015454979323
2025-12-05,0.009292964824120604,0.004016301875669049,0.001882553937777248
2025-12-08,0.0014512562814070346,0.00623021394406817,-0.0005007317055649862
2025-12-09,0.002019095477386935,-0.0009383216595169522,0.00274918706729519
2025-12-10,-0.006662311557788946,0.00039865878329962626,0.000843628147083952
2025-12-11,-2.7638190954773954e-05,-0.0024939733327762493,-0.0027492105971486003
2025-12-12,0.012201507537688443,-0.0010161357774142576,0.000910973131539912
2025-12-15,-0.009501010101010102,-0.0015140767280317393,-0.007378542608344615
2025-12-16,-0.015440404040404044,-0.005231427425177924,-0.0007544709402912132
2025-12-17,0.00413838383838384,-0.00013419032155699025,-0.0057257970241233426
2025-12-18,-0.01892272727272728,-0.0024161884015361655,0.0003438573257552676
2025-12-19,0.012856060606060607,0.001905644769583478,0.006166263669500112
2025-12-22,0.009684343434343434,0.0013605475816910791,4.034510983040938e-06
2025-12-23,-0.0006116161616161614,0.001956807958123415,0.003087904926616051
2025-12-24,-0.0014160804020100504,-0.0007605653513999997,-0.004704624986101658
2025-12-26,-0.012261809045226132,0.002585338990395179,0.003108177530846127
2025-12-29,0.009862311557788947,0.005588390240189226,0.006754335673606212
2025-12-30,-0.005273869346733668,-0.00248775044936328,0.00022763114637280984
