date,ticker,return
2025-07-23,005930,0.0060999999999999995
2025-07-23,000660,0.0019
2025-07-23,373220,0.009000000000000001
2025-07-23,207940,0.021099999999999997
2025-07-23,012450,-0.013000000000000001
2025-07-23,005380,0.0751
2025-07-23,005935,0.0055000000000000005
2025-07-23,105560,0.0060999999999999995
2025-07-23,000270,0.0849
2025-07-23,034020,0.0128
2025-07-23,068270,-0.0060999999999999995
2025-07-23,035420,-0.0149
2025-07-23,329180,-0.0084
2025-07-23,055550,-0.0015
2025-07-23,028260,-0.0012
2025-07-23,012330,0.020499999999999997
2025-07-23,005490,0.037200000000000004
2025-07-23,086790,-0.0044
2025-07-23,032830,-0.0168
2025-07-23,196170,0.0063
2025-07-23,042660,-0.0302
2025-07-23,011200,0.0144
2025-07-23,035720,-0.0265
2025-07-23,015760,0.0148
2025-07-23,009540,-0.0089
2025-07-23,000810,0.0
2025-07-23,138040,-0.0026
2025-07-23,064350,-0.0031
2025-07-23,402340,-0.0051
2025-07-23,051910,0.0069
2025-07-23,316140,0.008
2025-07-23,096770,0.021099999999999997
2025-07-23,267260,0.0246
2025-07-23,010140,-0.022000000000000002
2025-07-23,010130,-0.0096
2025-07-23,259960,-0.0128
2025-07-23,033780,-0.011699999999999999
2025-07-23,024110,-0.005
2025-07-23,034730,-0.018600000000000002
2025-07-23,006400,0.0148
2025-07-23,030200,-0.015700000000000002
2025-07-23,323410,-0.020499999999999997
2025-07-23,018260,-0.0241
2025-07-23,079550,0.0034000000000000002
2025-07-23,066570,0.0286
2025-07-23,003550,0.0025
2025-07-23,017670,-0.0070999999999999995
2025-07-23,003670,0.0073
2025-07-23,006800,-0.0025
2025-07-23,352820,-0.0183
2025-07-23,267250,0.0015
2025-07-23,086280,0.0192
2025-07-23,247540,0.0018
2025-07-23,272210,-0.0144
2025-07-23,009150,0.0104
2025-07-23,003230,-0.0044
2025-07-23,000100,0.0016
2025-07-23,298040,0.0183
2025-07-23,047050,0.08789999999999999
2025-07-23,005830,-0.0125
2025-07-23,003490,0.006
2025-07-23,000150,-0.0036
2025-07-23,047810,0.0256
2025-07-23,010120,0.014499999999999999
2025-07-23,071050,-0.0106
2025-07-23,443060,-0.0151
2025-07-23,042700,-0.0058
2025-07-23,377300,0.0085
2025-07-23,326030,0.0049
2025-07-23,090430,-0.0007000000000000001
2025-07-23,021240,0.0121
2025-07-23,010620,-0.025099999999999997
2025-07-23,180640,-0.0069
2025-07-23,000720,-0.016399999999999998
2025-07-23,010950,0.0
2025-07-23,000880,0.0
2025-07-23,087010,-0.0084
2025-07-23,005940,-0.0163
2025-07-23,278470,0.0084
2025-07-23,028300,0.004
2025-07-23,086520,0.0063
2025-07-23,032640,-0.0132
2025-07-23,009830,0.009300000000000001
2025-07-23,016360,-0.0040999999999999995
2025-07-23,029780,0.0075
2025-07-23,214450,0.0192
2025-07-23,005387,0.0547
2025-07-23,161390,0.0173
2025-07-23,039490,0.0022
2025-07-23,006260,-0.0006
2025-07-23,241560,0.042
2025-07-23,088980,-0.0009
2025-07-23,141080,0.0014000000000000002
2025-07-23,277810,-0.005600000000000001
2025-07-23,051900,0.0015
2025-07-23,251270,-0.049
2025-07-23,000250,0.29710000000000003
2025-07-23,004020,0.0246
2025-07-23,138930,0.0026
2025-07-23,028050,-0.0138
2025-07-23,078930,0.0019
2025-07-23,175330,-0.0143
2025-07-23,034220,0.011000000000000001
2025-07-23,001040,-0.023
2025-07-23,103140,0.0484
2025-07-23,271560,-0.0088
2025-07-23,307950,0.0019
2025-07-23,007660,0.0
2025-07-23,145020,0.0072
2025-07-23,036570,-0.0331
2025-07-23,035250,-0.008
2025-07-23,036460,0.046900000000000004
2025-07-23,022100,0.0489
2025-07-23,454910,-0.0033
2025-07-23,011790,0.0149
2025-07-23,005385,0.0364
2025-07-23,214150,0.0069
2025-07-23,097950,0.002
2025-07-23,302440,0.0074
2025-07-23,128940,0.0017000000000000001
2025-07-23,450080,0.0019
2025-07-23,298380,0.0592
2025-07-23,011070,0.0138
2025-07-23,058470,-0.042
2025-07-23,950160,0.0072
2025-07-23,011780,-0.017
2025-07-23,008930,0.0374
2025-07-23,052690,-0.0046
2025-07-23,214370,0.0424
2025-07-23,002380,-0.010700000000000001
2025-07-23,017800,-0.030299999999999997
2025-07-23,088350,-0.0174
2025-07-23,004990,-0.0194
2025-07-23,257720,0.0059
2025-07-23,026960,0.0163
2025-07-23,041510,-0.0369
2025-07-23,001440,0.0285
2025-07-23,062040,0.069
2025-07-23,383220,-0.0128
2025-07-23,011170,-0.0276
2025-07-23,489790,-0.018000000000000002
2025-07-23,192820,-0.0102
2025-07-23,012750,-0.005600000000000001
2025-07-23,111770,-0.005
2025-07-23,035900,-0.0239
2025-07-23,039030,-0.011699999999999999
2025-07-23,018670,0.0072
2025-07-23,310210,0.051699999999999996
2025-07-23,082740,0.0016
2025-07-23,462870,-0.0046
2025-07-23,002790,0.0
2025-07-23,042670,0.18760000000000002
2025-07-23,139480,-0.016
2025-07-23,030000,0.0
2025-07-23,139130,-0.004699999999999999
2025-07-23,001450,0.005600000000000001
2025-07-23,000240,0.0323
2025-07-23,004370,-0.0124
2025-07-23,082270,0.0506
2025-07-23,012510,0.0128
2025-07-23,263750,-0.0337
2025-07-23,068760,-0.0019
2025-07-23,001720,-0.0458
2025-07-23,051600,0.0039000000000000003
2025-07-23,028670,0.022799999999999997
2025-07-23,018880,0.037200000000000004
2025-07-23,161890,-0.009300000000000001
2025-07-23,081660,0.0163
2025-07-23,066970,0.006500000000000001
2025-07-23,003690,-0.011699999999999999
2025-07-23,112610,0.004
2025-07-23,023530,-0.0053
2025-07-23,403870,-0.0118
2025-07-23,000120,-0.0108
2025-07-23,282330,-0.0245
2025-07-23,361610,-0.0086
2025-07-23,008770,0.0019
2025-07-23,000990,0.0066
2025-07-23,020560,-0.0051
2025-07-23,140860,0.0055000000000000005
2025-07-23,014680,-0.0581
2025-07-23,065350,-0.0113
2025-07-23,071970,-0.015700000000000002
2025-07-23,237690,0.0053
2025-07-23,069620,-0.015
2025-07-23,103590,0.0169
2025-07-23,006040,-0.0084
2025-07-23,375500,0.0052
2025-07-23,009970,-0.0074
2025-07-23,010060,0.06309999999999999
2025-07-23,007390,0.037000000000000005
2025-07-23,006280,-0.0192
2025-07-23,034230,0.0
2025-07-23,004170,-0.0076
2025-07-23,006360,0.0125
2025-07-23,204320,0.0757
2025-07-23,069960,-0.0195
2025-07-24,005930,-0.006
2025-07-24,000660,0.0019
2025-07-24,373220,0.09359999999999999
2025-07-24,207940,0.0226
2025-07-24,012450,0.0341
2025-07-24,005380,-0.0203
2025-07-24,005935,-0.0073
2025-07-24,105560,0.0165
2025-07-24,000270,-0.0104
2025-07-24,034020,0.0315
2025-07-24,068270,0.0033
2025-07-24,035420,-0.0194
2025-07-24,329180,0.0169
2025-07-24,055550,0.0176
2025-07-24,028260,-0.006500000000000001
2025-07-24,012330,-0.01
2025-07-24,005490,-0.003
2025-07-24,086790,0.0022
2025-07-24,032830,-0.006999999999999999
2025-07-24,196170,-0.0042
2025-07-24,042660,0.0635
2025-07-24,011200,-0.004
2025-07-24,035720,-0.016399999999999998
2025-07-24,015760,0.004
2025-07-24,009540,0.009000000000000001
2025-07-24,000810,-0.0151
2025-07-24,138040,-0.0068000000000000005
2025-07-24,064350,-0.0177
2025-07-24,402340,-0.0256
2025-07-24,051910,0.0481
2025-07-24,316140,0.009899999999999999
2025-07-24,096770,0.0052
2025-07-24,267260,0.026099999999999998
2025-07-24,010140,0.016200000000000003
2025-07-24,010130,-0.0121
2025-07-24,259960,-0.020099999999999996
2025-07-24,033780,-0.0252
2025-07-24,024110,0.0075
2025-07-24,034730,0.0024
2025-07-24,006400,0.030899999999999997
2025-07-24,030200,0.0
2025-07-24,323410,-0.0087
2025-07-24,018260,-0.0776
2025-07-24,079550,-0.0152
2025-07-24,066570,-0.0152
2025-07-24,003550,-0.011200000000000002
2025-07-24,017670,-0.010700000000000001
2025-07-24,003670,-0.0046
2025-07-24,006800,-0.024300000000000002
2025-07-24,352820,-0.0206
2025-07-24,267250,0.0169
2025-07-24,086280,-0.005600000000000001
2025-07-24,247540,0.024700000000000003
2025-07-24,272210,0.0073
2025-07-24,009150,-0.0059
2025-07-24,003230,-0.016399999999999998
2025-07-24,000100,-0.0152
2025-07-24,298040,0.059500000000000004
2025-07-24,047050,-0.016200000000000003
2025-07-24,005830,-0.013500000000000002
2025-07-24,003490,-0.025699999999999997
2025-07-24,000150,0.0
2025-07-24,047810,0.0043
2025-07-24,010120,0.0321
2025-07-24,071050,-0.0187
2025-07-24,443060,0.0109
2025-07-24,042700,-0.0174
2025-07-24,377300,-0.0034000000000000002
2025-07-24,326030,0.0029
2025-07-24,090430,0.0037
2025-07-24,021240,-0.0018
2025-07-24,010620,0.008199999999999999
2025-07-24,180640,-0.0155
2025-07-24,000720,0.003
2025-07-24,010950,-0.0144
2025-07-24,000880,0.0173
2025-07-24,087010,-0.0405
2025-07-24,005940,-0.023700000000000002
2025-07-24,278470,-0.0301
2025-07-24,028300,-0.009000000000000001
2025-07-24,086520,0.015600000000000001
2025-07-24,032640,-0.022099999999999998
2025-07-24,009830,0.0026
2025-07-24,016360,-0.0124
2025-07-24,029780,-0.0019
2025-07-24,214450,-0.0069
2025-07-24,005387,-0.0111
2025-07-24,161390,0.0032
2025-07-24,039490,-0.011200000000000002
2025-07-24,006260,-0.0068000000000000005
2025-07-24,241560,0.0
2025-07-24,088980,-0.0034999999999999996
2025-07-24,141080,0.0055000000000000005
2025-07-24,277810,-0.0075
2025-07-24,051900,-0.0075
2025-07-24,251270,-0.024900000000000002
2025-07-24,000250,0.0562
2025-07-24,004020,-0.0187
2025-07-24,138930,0.0
2025-07-24,028050,0.022000000000000002
2025-07-24,078930,-0.0097
2025-07-24,175330,0.0083
2025-07-24,034220,0.0011
2025-07-24,001040,-0.0134
2025-07-24,103140,-0.0271
2025-07-24,271560,0.0
2025-07-24,307950,-0.020099999999999996
2025-07-24,007660,0.0169
2025-07-24,145020,-0.0384
2025-07-24,036570,-0.0232
2025-07-24,035250,-0.0191
2025-07-24,036460,-0.024
2025-07-24,022100,-0.0131
2025-07-24,454910,0.0016
2025-07-24,011790,0.0771
2025-07-24,005385,-0.0060999999999999995
2025-07-24,214150,-0.0017000000000000001
2025-07-24,097950,-0.0158
2025-07-24,302440,-0.0032
2025-07-24,128940,0.0104
2025-07-24,450080,0.0038
2025-07-24,298380,0.1782
2025-07-24,011070,0.0097
2025-07-24,058470,-0.016
2025-07-24,950160,-0.010700000000000001
2025-07-24,011780,0.0236
2025-07-24,008930,0.029900000000000003
2025-07-24,052690,-0.0104
2025-07-24,214370,-0.029300000000000003
2025-07-24,002380,-0.0095
2025-07-24,017800,-0.015600000000000001
2025-07-24,088350,-0.0191
2025-07-24,004990,-0.031400000000000004
2025-07-24,257720,-0.0206
2025-07-24,026960,0.0
2025-07-24,041510,-0.015
2025-07-24,001440,-0.0148
2025-07-24,062040,0.0161
2025-07-24,383220,-0.015600000000000001
2025-07-24,011170,0.0149
2025-07-24,489790,0.09140000000000001
2025-07-24,192820,-0.0124
2025-07-24,012750,-0.0042
2025-07-24,111770,0.0118
2025-07-24,035900,-0.03
2025-07-24,039030,0.0
2025-07-24,018670,-0.026699999999999998
2025-07-24,310210,-0.009300000000000001
2025-07-24,082740,0.030699999999999998
2025-07-24,462870,-0.0137
2025-07-24,002790,-0.0109
2025-07-24,042670,0.1293
2025-07-24,139480,-0.0325
2025-07-24,030000,-0.016200000000000003
2025-07-24,139130,-0.015
2025-07-24,001450,-0.0092
2025-07-24,000240,-0.0098
2025-07-24,004370,-0.025099999999999997
2025-07-24,082270,-0.0034000000000000002
2025-07-24,012510,-0.026600000000000002
2025-07-24,263750,-0.018799999999999997
2025-07-24,068760,0.0074
2025-07-24,001720,-0.0219
2025-07-24,051600,-0.0019
2025-07-24,028670,0.0023
2025-07-24,018880,-0.016399999999999998
2025-07-24,161890,-0.0271
2025-07-24,081660,0.010700000000000001
2025-07-24,066970,0.0922
2025-07-24,003690,-0.0027
2025-07-24,112610,-0.021
2025-07-24,023530,-0.0241
2025-07-24,403870,-0.008
2025-07-24,000120,-0.018600000000000002
2025-07-24,282330,-0.0285
2025-07-24,361610,-0.0034999999999999996
2025-07-24,008770,-0.0229
2025-07-24,000990,-0.0044
2025-07-24,020560,-0.0031
2025-07-24,140860,-0.0054
2025-07-24,014680,0.0217
2025-07-24,065350,0.0043
