date,ticker,specific_return
2025-07-23,005930,0.00027834817882106243
2025-07-23,000660,-0.002382635587234552
2025-07-23,373220,0.003532150329384194
2025-07-23,207940,0.016882953029749966
2025-07-23,012450,-0.010104842076417968
2025-07-23,005380,0.06895265238649392
2025-07-23,005935,-0.0005945288384217266
2025-07-23,105560,0.0017300196010373511
2025-07-23,000270,0.07879068804739232
2025-07-23,034020,0.015309232563591565
2025-07-23,068270,-0.01160807374475168
2025-07-23,035420,-0.017788120976154148
2025-07-23,329180,-0.007555177029745534
2025-07-23,055550,-0.006500428933014585
2025-07-23,028260,-0.006431624145783656
2025-07-23,012330,0.01543427147953402
2025-07-23,005490,0.03061992551398976
2025-07-23,086790,-0.009277276242245894
2025-07-23,032830,-0.021186703754052922
2025-07-23,196170,0.0022385855456557
2025-07-23,042660,-0.029950743742161737
2025-07-23,011200,0.00919196906857774
2025-07-23,035720,-0.02986130561496719
2025-07-23,015760,0.01146509135831021
2025-07-23,009540,-0.010092435198262893
2025-07-23,000810,-0.005211796049889844
2025-07-23,138040,-0.007245350265193105
2025-07-23,064350,-0.0005177342268574119
2025-07-23,402340,-0.008226166146398504
2025-07-23,051910,-0.00020441819325361932
2025-07-23,316140,0.0036646461283930554
2025-07-23,096770,0.01483871827906785
2025-07-23,267260,0.02038075888294988
2025-07-23,010140,-0.025456634740039768
2025-07-23,010130,-0.013875065011647297
2025-07-23,259960,-0.01771272829087133
2025-07-23,033780,-0.016343285578374164
2025-07-23,024110,-0.010127842064379635
2025-07-23,034730,-0.023678497477388746
2025-07-23,006400,0.007210660398808197
2025-07-23,030200,-0.020403367611794194
2025-07-23,323410,-0.024190514821092274
2025-07-23,018260,-0.02945503605203142
2025-07-23,079550,0.002886024238285847
2025-07-23,066570,0.02157334310273934
2025-07-23,003550,-0.0035321671116190054
2025-07-23,017670,-0.012915643812401425
2025-07-23,003670,-0.00042570445141731656
2025-07-23,006800,-0.002760489580570394
2025-07-23,352820,-0.022757824034516486
2025-07-23,267250,-0.0023297507808835564
2025-07-23,086280,0.013255827377109529
2025-07-23,247540,-0.005794788311388792
2025-07-23,272210,-0.012947380380457146
2025-07-23,009150,0.0036506039929209786
2025-07-23,003230,-0.0069032945103874345
2025-07-23,000100,-0.0037744259502244778
2025-07-23,298040,0.017074366142365776
2025-07-23,047050,0.08118259718916421
2025-07-23,005830,-0.018577909029532415
2025-07-23,003490,-0.0002139195669219468
2025-07-23,000150,-0.0039712963656943975
2025-07-23,047810,0.02191574369579354
2025-07-23,010120,0.009918312311071247
2025-07-23,071050,-0.01370057166210256
2025-07-23,443060,-0.019075673438619163
2025-07-23,042700,-0.0134873425869034
2025-07-23,377300,0.00978966299112578
2025-07-23,326030,-0.0008684953087583942
2025-07-23,090430,-0.007174261643427178
2025-07-23,021240,0.007583009104866301
2025-07-23,010620,-0.02807527161642666
2025-07-23,180640,-0.01056310941575625
2025-07-23,000720,-0.018506697602763453
2025-07-23,010950,-0.0069131908168581085
2025-07-23,000880,0.0007607428507237674
2025-07-23,087010,-0.007694044982861413
2025-07-23,005940,-0.02097655281939881
2025-07-23,278470,0.00525609721219332
2025-07-23,028300,-0.003759182606906589
2025-07-23,086520,-0.001743419459113089
2025-07-23,032640,-0.018459427654137654
2025-07-23,009830,0.0033724486878973997
2025-07-23,016360,-0.008207763293626828
2025-07-23,029780,0.001664460444509755
2025-07-23,214450,0.020370710316709943
2025-07-23,005387,0.04768800614981957
2025-07-23,161390,0.01037818916816177
2025-07-23,039490,-0.0021144441017889935
2025-07-23,006260,-0.005998238705079126
2025-07-23,241560,0.0360359251824583
2025-07-23,088980,-0.007613536912230338
2025-07-23,141080,-0.0038001899201864035
2025-07-23,277810,-0.008852460906335534
2025-07-23,051900,-0.005164805676110929
2025-07-23,251270,-0.055313468014384304
2025-07-23,000250,0.2899823218445567
2025-07-23,004020,0.017934765384798393
2025-07-23,138930,-0.0029200386216179236
2025-07-23,028050,-0.02056909505692652
2025-07-23,078930,-0.004877686490748682
2025-07-23,175330,-0.01977090728162311
2025-07-23,034220,0.003516169449760652
2025-07-23,001040,-0.028161381459180016
2025-07-23,103140,0.044436555139580294
2025-07-23,271560,-0.015005688029546146
2025-07-23,307950,-0.004709039919119143
2025-07-23,007660,-0.007084233221428052
2025-07-23,145020,0.0024232807595628222
2025-07-23,036570,-0.03963832362993494
2025-07-23,035250,-0.013803307957138768
2025-07-23,036460,0.03966847595969039
2025-07-23,022100,0.041024907895312115
2025-07-23,454910,-0.010493139031389452
2025-07-23,011790,0.006950497654895638
2025-07-23,005385,0.029190881334388172
2025-07-23,214150,0.0009579236194446981
2025-07-23,097950,-0.005818253863665935
2025-07-23,302440,0.00043659138215006166
2025-07-23,128940,-0.004980679220480967
2025-07-23,450080,-0.00656616972820897
2025-07-23,298380,0.05620112118856238
2025-07-23,011070,0.005547308605597734
2025-07-23,058470,-0.04844622803767363
2025-07-23,950160,0.007528401448545154
2025-07-23,011780,-0.024670633156324537
2025-07-23,008930,0.03164419142007993
2025-07-23,052690,-0.009327613616966046
2025-07-23,214370,0.03694403362141095
2025-07-23,002380,-0.01776740460700989
2025-07-23,017800,-0.033995908658144065
2025-07-23,088350,-0.024012961678514393
2025-07-23,004990,-0.02603180393444486
2025-07-23,257720,-6.796122412591147e-05
2025-07-23,026960,0.010471307725515296
2025-07-23,041510,-0.041619445003571
2025-07-23,001440,0.022062552177608673
2025-07-23,062040,0.0664454340494541
2025-07-23,383220,-0.018857138534402892
2025-07-23,011170,-0.03590326761722979
2025-07-23,489790,-0.024583607212396733
2025-07-23,192820,-0.015599434650007186
2025-07-23,012750,-0.012262823406445068
2025-07-23,111770,-0.009867833422025438
2025-07-23,035900,-0.02979050346800856
2025-07-23,039030,-0.019458397963586605
2025-07-23,018670,0.001553742183184298
2025-07-23,310210,0.04742000296762545
2025-07-23,082740,-0.0021080071900444683
2025-07-23,462870,-0.01217088917800736
2025-07-23,002790,-0.006915951399146072
2025-07-23,042670,0.18248721714203517
2025-07-23,139480,-0.021569444841374553
2025-07-23,030000,-0.006821481348185561
2025-07-23,139130,-0.010364349389750834
2025-07-23,001450,-0.0022760749176123796
2025-07-23,000240,0.02588383466237438
2025-07-23,004370,-0.01991847488861777
2025-07-23,082270,0.05177981922627375
2025-07-23,012510,0.005837213684784026
2025-07-23,263750,-0.04090855982068614
2025-07-23,068760,-0.01036305311229508
2025-07-23,001720,-0.05088546909542509
2025-07-23,051600,-0.001090016770086953
2025-07-23,028670,0.015425452421717677
2025-07-23,018880,0.028946485163117017
2025-07-23,161890,-0.015143972737369477
2025-07-23,081660,0.008568636136606645
2025-07-23,066970,-0.0022791393613208182
2025-07-23,003690,-0.01731912024810803
2025-07-23,112610,-0.003211666094036069
2025-07-23,023530,-0.011911983846567335
2025-07-23,403870,-0.019833808158256614
2025-07-23,000120,-0.01823440337215195
2025-07-23,282330,-0.031128222460391913
2025-07-23,361610,-0.017002300670818985
2025-07-23,008770,-0.005341428839108343
2025-07-23,000990,-0.0009656737367914926
2025-07-23,020560,-0.012531016570344158
2025-07-23,140860,-0.00040919738159738393
2025-07-23,014680,-0.06576011560750625
2025-07-23,065350,-0.01784752582820575
2025-07-23,071970,-0.016943198448966936
2025-07-23,237690,-0.00218368631423749
2025-07-23,069620,-0.021104128252002877
2025-07-23,103590,0.010428069980664164
2025-07-23,006040,-0.01408044286406841
2025-07-23,375500,-0.0004773030436040571
2025-07-23,009970,-0.013084626032951425
2025-07-23,010060,0.0552606225698967
2025-07-23,007390,0.036318703250624605
2025-07-23,006280,-0.026241113881851894
2025-07-23,034230,-0.006822965685317432
2025-07-23,004170,-0.014377678999511798
2025-07-23,006360,0.00654590639055477
2025-07-23,204320,0.06759622367969385
2025-07-23,069960,-0.025058915539320156
2025-07-24,005930,-0.011757786819276668
2025-07-24,000660,-0.00457665829479148
2025-07-24,373220,0.08781572012383507
2025-07-24,207940,0.016360929036577116
2025-07-24,012450,0.026344455575008256
2025-07-24,005380,-0.024223870379473968
2025-07-24,005935,-0.011161810706746999
2025-07-24,105560,0.012000110648794722
2025-07-24,000270,-0.014112446746883816
2025-07-24,034020,0.024341947055865027
2025-07-24,068270,-0.00044415284266799155
2025-07-24,035420,-0.023997672199764425
2025-07-24,329180,0.010814602480388038
2025-07-24,055550,0.014200814124396353
2025-07-24,028260,-0.00942948597388668
2025-07-24,012330,-0.012903261498316556
2025-07-24,005490,-0.005147493215471584
2025-07-24,086790,-0.00054878890807973
2025-07-24,032830,-0.009949092243841492
2025-07-24,196170,-0.007268786890892821
2025-07-24,042660,0.05874609580856343
2025-07-24,011200,-0.006528722733782971
2025-07-24,035720,-0.0195821376856558
2025-07-24,015760,0.0004964804731901013
2025-07-24,009540,0.005132652475233299
2025-07-24,000810,-0.01709121136886738
2025-07-24,138040,-0.009020517312268947
2025-07-24,064350,-0.02301703145379283
2025-07-24,402340,-0.02860392130728044
2025-07-24,051910,0.04704129476085498
2025-07-24,316140,0.007867261661172735
2025-07-24,096770,0.004243801872402031
2025-07-24,267260,0.024203060801943743
2025-07-24,010140,0.01419711254707948
2025-07-24,010130,-0.013688787447346393
2025-07-24,259960,-0.021447306218794288
2025-07-24,033780,-0.02669694097853811
2025-07-24,024110,0.006237860788421855
2025-07-24,034730,0.0013072536099922054
2025-07-24,006400,0.03104518229770078
2025-07-24,030200,-0.0010305123035595602
2025-07-24,323410,-0.010031159480758195
2025-07-24,018260,-0.07804451645768082
2025-07-24,079550,-0.017649392766518394
2025-07-24,066570,-0.014914184624169434
2025-07-24,003550,-0.011255431767060932
2025-07-24,017670,-0.010740262918221803
2025-07-24,003670,-0.0036974489827703684
2025-07-24,006800,-0.02683160172996456
2025-07-24,352820,-0.020987349859938186
2025-07-24,267250,0.016357787645363248
2025-07-24,086280,-0.005235664660885871
2025-07-24,247540,0.025815243202214108
2025-07-24,272210,0.00479443582931857
2025-07-24,009150,-0.005029134653084584
2025-07-24,003230,-0.017400782359034653
2025-07-24,000100,-0.014866541528402043
2025-07-24,298040,0.05787428391470366
2025-07-24,047050,-0.015237196469960705
2025-07-24,005830,-0.012696730630714217
2025-07-24,003490,-0.02481171908733191
2025-07-24,000150,-0.001635182108403977
2025-07-24,047810,0.004216637538921445
2025-07-24,010120,0.032696850429771974
2025-07-24,071050,-0.018809021982389883
2025-07-24,443060,0.011281015054179205
2025-07-24,042700,-0.01549148987714025
2025-07-24,377300,-0.0054662593068512755
2025-07-24,326030,0.004088113050514691
2025-07-24,090430,0.005294405354151925
2025-07-24,021240,-0.0010945549712397954
2025-07-24,010620,0.00841116458068876
2025-07-24,180640,-0.015108724078106909
2025-07-24,000720,0.002581915519114579
2025-07-24,010950,-0.01233429593637899
2025-07-24,000880,0.016018221807231264
2025-07-24,087010,-0.04174808363090547
2025-07-24,005940,-0.022557932165304787
2025-07-24,278470,-0.029843495501871608
2025-07-24,028300,-0.006360240490836775
2025-07-24,086520,0.018405512580459294
2025-07-24,032640,-0.02054874559690529
2025-07-24,009830,0.0044409320095861625
2025-07-24,016360,-0.011386904074617236
2025-07-24,029780,5.6875043870511675e-05
2025-07-24,214450,-0.008060907188732508
2025-07-24,005387,-0.008565654026597324
2025-07-24,161390,0.005788972627190603
2025-07-24,039490,-0.009726941911319904
