date,ticker,INTERCEPT,SIZE,MOMENTUM
2025-07-23,005930,1.0,2.6822041119835274,-0.9840882639164183
2025-07-23,000660,1.0,2.6822041119835274,-0.2904843257516427
2025-07-23,373220,1.0,2.6443004307116884,-0.8141783835998089
2025-07-23,207940,1.0,2.5917301654368825,-0.2359614632521844
2025-07-23,012450,1.0,2.132824315541955,3.0959878419042295
2025-07-23,005380,1.0,2.011841294912313,-0.9459077724314292
2025-07-23,005935,1.0,2.0695781229964596,-0.9380340270496081
2025-07-23,105560,1.0,2.0462398227355996,-0.15437496770605405
2025-07-23,000270,1.0,1.9255908627526124,-0.904967821174164
2025-07-23,034020,1.0,1.9571254310002757,2.9705374402820772
2025-07-23,068270,1.0,1.9606640271794098,-0.6436790593246998
2025-07-23,035420,1.0,1.8805833113280395,0.5591771298056112
2025-07-23,329180,1.0,1.8733877717773735,2.243525932692268
2025-07-23,055550,1.0,1.759497205452056,-0.35938813737529196
2025-07-23,028260,1.0,1.6201963883009294,-0.4251476238919401
2025-07-23,012330,1.0,1.544958798158181,-0.3296223755194722
2025-07-23,005490,1.0,1.5155894796162621,-1.004004395142959
2025-07-23,086790,1.0,1.5086764037971137,-0.23467972867350587
2025-07-23,032830,1.0,1.52026325809405,-0.01678550759600399
2025-07-23,196170,1.0,1.4879015170683065,0.13874507876204273
2025-07-23,042660,1.0,1.5250543244068824,2.071227316468184
2025-07-23,011200,1.0,1.4678532659884336,-0.37248043991210206
2025-07-23,035720,1.0,1.4684345947476718,0.4596414489189788
2025-07-23,015760,1.0,1.4236477261382443,0.48389553678243397
2025-07-23,009540,1.0,1.4224716659538177,1.4497901060953753
2025-07-23,000810,1.0,1.304373655759285,-0.3290703549557276
2025-07-23,138040,1.0,1.2934905911173364,-0.07078169901001663
2025-07-23,064350,1.0,1.2932791681958125,3.1866191108302857
2025-07-23,402340,1.0,1.278832335792451,0.6179287750385788
2025-07-23,051910,1.0,1.2597258233438207,-1.1697182921520928
2025-07-23,316140,1.0,1.1603129012132536,0.10567360310271535
2025-07-23,096770,1.0,1.0837484122574903,-0.7411781753937138
2025-07-23,267260,1.0,1.0635875832630934,0.18469155246208388
